customers	40																																						
vehicles	10																																						
vehicle	23																																						
distance																																							
39	45	85	1	9	31	74	43	84	82	46	39	22	79	53	51	21	31	82	63	96	66	34	31	88	32	12	17	100	62	67	47	60	62	56	37	90	99	100	72
78	35	44	23	15	23	57	16	46	92	64	51	88	78	38	11	48	25	23	18	84	56	86	47	26	28	11	43	40	55	63	94	42	88	81	96	45	46	96	
80	47	99	82	74	45	20	93	40	68	83	17	80	33	58	88	76	40	85	96	93	27	79	8	18	88	50	61	35	21	81	36	81	55	6	79	100	99		
50	49	61	11	72	7	92	87	54	55	48	87	100	31	87	41	85	34	21	25	35	90	42	88	52	9	98	48	4	10	35	37	1	22	12	12	4			
47	40	62	71	92	28	63	66	20	99	97	58	77	13	38	74	91	74	76	23	63	40	39	60	80	96	66	51	32	89	67	8	34	2	41	61				
99	31	98	11	90	65	49	52	7	35	20	6	100	50	54	79	68	77	35	9	76	7	80	88	4	43	9	85	18	21	76	56	47	51	54					
85	1	18	23	70	90	50	8	54	42	29	33	23	73	10	40	82	95	99	77	24	13	24	4	89	12	37	28	21	1	55	81	49	19						
85	7	32	67	67	80	89	51	62	65	87	54	86	11	23	36	87	85	16	76	65	65	30	23	92	13	52	14	63	23	34	45	93							
91	24	100	34	61	44	64	58	55	47	21	82	19	59	94	100	35	28	6	36	35	2	25	75	33	98	68	95	14	68	19	5								
1	42	26	16	34	59	72	72	87	85	32	89	2	31	62	71	88	93	10	57	4	38	39	10	33	5	87	34	66	51	50									
70	1	38	18	34	18	44	44	65	11	71	87	48	53	35	48	77	100	18	50	56	24	54	63	44	20	12	5	85	65										
42	35	87	36	20	90	86	71	65	58	80	94	65	82	91	98	12	18	56	66	90	77	8	41	81	51	24	91	22											
46	84	25	74	40	9	19	61	5	98	93	71	30	83	84	89	52	90	33	4	39	2	13	27	39	98	71	44												
39	89	83	15	10	10	41	57	91	57	55	33	79	49	37	75	71	56	58	42	61	95	47	71	56	81	25													
80	13	50	34	5	57	47	28	13	24	73	92	69	17	94	22	27	79	64	76	95	53	22	80	22	93														
85	29	59	100	35	35	41	46	98	30	37	4	25	17	51	82	56	54	54	47	19	23	35	74	98															
64	70	100	76	30	13	97	7	16	71	3	28	25	95	31	33	26	53	59	34	56	23	19	24																
83	16	98	3	50	88	10	39	73	85	9	80	65	91	30	41	11	25	47	12	91	90	49																	
82	46	71	49	78	48	94	38	2	52	66	7	43	36	100	20	90	44	51	50	19	91																		
90	13	1	90	20	10	7	2	36	47	44	12	60	79	66	48	92	61	17	9	79																			
38	87	35	90	77	28	5	46	99	87	9	58	11	57	84	8	33	69	48	22																				
80	64	60	41	19	19	73	28	85	83	55	33	45	32	26	56	16	51	59																					
96	56	96	25	70	34	9	71	66	92	87	67	32	95	31	70	64	78																						
60	11	99	83	25	47	27	31	64	64	45	82	67	42	98	3	65																							
15	81	66	67	2	56	8	16	90	34	85	100	24	36	16	64																								
98	54	73	81	68	86	41	61	95	56	71	79	98	91	90																									
60	51	9	30	63	13	33	37	18	58	24	37	79	43																										
3	3	26	53	72	10	28	78	7	59	81	9	32																											
68	21	49	34	77	100	31	19	60	60	95	51																												
78	77	56	61	52	43	20	44	47	89	38																													
40	17	67	38	61	4	4	91	61	70																														
39	32	47	40	44	82	68	41	83																															
74	56	46	14	99	80	93	79																																
25	27	42	80	65	64	100																																	
43	94	74	5	30	53																																		
96	85	15	97	65																																			
100	89	94	25																																				
89	55	23																																					
48	99																																						
83																																							
demand																																							
4	5	3	2	2	10	4	7	6	8	8	5	3	1	3	8	10	6	5	6	4	5	3	2	2	10	4	7	6	8	8	5	3	1	3	8	10	6	5	6
